INFO [2019-08-28 17:22:02]       queryFootprints,   9 regions,    16058 bases:  0.31  0.03 11.45  0.00  0.00
INFO [2019-08-28 17:31:53]       queryFootprints,   1 regions,    20001 bases:  0.09  0.02  2.95  0.00  0.00
INFO [2019-08-28 17:32:36]       queryFootprints,   1 regions,   200001 bases:  0.61  0.19 12.85  0.00  0.00
INFO [2019-08-28 17:39:15]       queryFootprints,   6 regions,     3006 bases:  0.10  0.02  7.56  0.00  0.00
INFO [2019-08-28 17:42:04]       queryFootprints,  20 regions,    10020 bases:  0.25  0.04 23.19  0.00  0.00
INFO [2019-08-28 17:44:24]       queryFootprints,  20 regions,    99020 bases:  0.59  0.08 24.14  0.00  0.00
INFO [2019-08-28 17:47:45]       queryFootprints,  20 regions,    99020 bases:  0.57  0.07 24.14  0.00  0.00
INFO [2019-08-28 17:49:54]       queryFootprints,  20 regions,    99020 bases:  0.12  0.02 123.46  0.00  0.00
INFO [2019-08-28 17:54:13] queryFootprints(brain_hint_20),  20 regions,    99020 bases:  0.19  0.02  8.23  0.00  0.00
INFO [2019-08-28 17:56:30] queryFootprints(placenta_fp),    20 regions,    99020 bases:  0.12  0.02 122.80  0.00  0.00
INFO [2019-08-29 07:35:23]       queryFootprints,   9 regions,    16058 bases:   0.33   0.06  17.36   0.00   0.00
INFO [2019-08-29 07:35:27]       queryFootprints,   1 regions,    20001 bases:   0.10   0.03   3.88   0.00   0.00
INFO [2019-08-29 07:35:37]       queryFootprints,   1 regions,   200001 bases:   0.61   0.20   9.53   0.00   0.00
INFO [2019-08-29 07:35:49]       queryFootprints,   6 regions,     3006 bases:   0.11   0.02  11.48   0.00   0.00
INFO [2019-08-29 07:36:24]       queryFootprints,  20 regions,    10020 bases:   0.25   0.04  34.66   0.00   0.00
INFO [2019-08-29 07:36:38] queryFootprints(  brain_hint_20),  20 regions,    99020 bases:   0.23   0.07  13.17   0.00   0.00
INFO [2019-08-29 07:38:46] queryFootprints(    placenta_fp),  20 regions,    99020 bases:   0.14   0.04 127.25   0.00   0.00
INFO [2019-08-29 10:42:12]       queryFootprints,   9 regions,    16058 bases:   0.30   0.03  11.28   0.00   0.00
INFO [2019-08-29 10:42:14]       queryFootprints,   1 regions,    20001 bases:   0.08   0.02   2.08   0.00   0.00
INFO [2019-08-29 10:42:18]       queryFootprints,   1 regions,   200001 bases:   0.49   0.09   3.32   0.00   0.00
INFO [2019-08-29 10:42:26]       queryFootprints,   6 regions,     3006 bases:   0.09   0.02   7.59   0.00   0.00
INFO [2019-08-29 10:42:49]       queryFootprints,  20 regions,    10020 bases:   0.25   0.04  23.15   0.00   0.00
INFO [2019-08-29 10:42:58] queryFootprints(  brain_hint_20),  20 regions,    99020 bases:   0.19   0.03   8.35   0.00   0.00
INFO [2019-08-29 12:53:25]       queryFootprints,   9 regions,    16058 bases:   0.20   0.03  11.21   0.00   0.00
INFO [2019-08-29 12:53:27]       queryFootprints,   1 regions,    20001 bases:   0.08   0.02   2.06   0.00   0.00
INFO [2019-08-29 12:53:31]       queryFootprints,   1 regions,   200001 bases:   0.48   0.08   3.42   0.00   0.00
INFO [2019-08-29 12:53:39]       queryFootprints,   6 regions,     3006 bases:   0.10   0.02   7.66   0.00   0.00
INFO [2019-08-29 12:54:03]       queryFootprints,  20 regions,    10020 bases:   0.25   0.04  23.52   0.00   0.00
INFO [2019-08-29 12:54:06] queryFootprints(  brain_hint_20),   5 regions,    24755 bases:   0.05   0.01   2.38   0.00   0.00
INFO [2019-08-29 12:54:38] queryFootprints(    placenta_fp),   5 regions,    24755 bases:   0.04   0.00  31.21   0.00   0.00
INFO [2019-08-30 05:11:05] queryFootprints(    placenta_fp),   9 regions,    16058 bases:   0.20   0.02  57.25   0.00   0.00
INFO [2019-08-30 05:12:01] queryFootprints(  brain_hint_20),   9 regions,    16058 bases:   0.07   0.02   5.33   0.00   0.00
INFO [2019-08-30 05:14:28] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.55   0.00   0.00
INFO [2019-08-30 05:14:37] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.00   0.94   0.00   0.00
INFO [2019-08-30 05:25:28] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.66   0.00   0.00
INFO [2019-08-30 05:26:35] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   1.00   0.00   0.00
INFO [2019-08-30 05:27:33] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.03   0.01   0.96   0.00   0.00
INFO [2019-08-30 05:28:23] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.61   0.00   0.00
INFO [2019-08-30 05:30:09] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.55   0.00   0.00
INFO [2019-08-30 05:30:21] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.03   0.01   0.84   0.00   0.00
INFO [2019-08-30 05:36:45] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.48   0.00   0.00
INFO [2019-08-30 05:36:46] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   0.86   0.00   0.00
INFO [2019-08-30 05:38:27] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.52   0.00   0.00
INFO [2019-08-30 05:38:29] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   0.84   0.00   0.00
INFO [2019-08-30 05:42:41] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.46   0.00   0.00
