DB	ID	Splice	Symbol	Taxon	Qualifier	GO ID	GO Name	Reference	Evidence	With	Aspect	Date	Source
UniProtKB	A0A024QZ23	-	TFE3	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000076864	Function	20160305	Ensembl
UniProtKB	A0A024R087	-	hCG_36935	9606	-	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	GO_REF:0000002	IEA	InterPro:IPR027758	Function	20160305	InterPro
UniProtKB	A0A024R0P6	-	FOSB	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000003640	Function	20160305	Ensembl
UniProtKB	A0A024R126	-	NR4A1	9606	-	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	GO_REF:0000002	IEA	InterPro:IPR003070|InterPro:IPR003071	Function	20160305	InterPro
UniProtKB	A0A024R168	-	NR4A3	9606	-	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	GO_REF:0000002	IEA	InterPro:IPR003070|InterPro:IPR003072	Function	20160305	InterPro
UniProtKB	A0A024R1F0	-	XBP1	9606	-	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000054852	Function	20160305	Ensembl
UniProtKB	A0A024R1M5	-	ZNF278	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000050684	Function	20160305	Ensembl
UniProtKB	A0A024R1N6	-	SOX10	9606	-	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000039466	Function	20160305	Ensembl
UniProtKB	A0A024R1N6	-	SOX10	9606	-	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000039466	Function	20160305	Ensembl
UniProtKB	A0A024R274	-	SMAD4	9606	-	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025393	Function	20160305	Ensembl
UniProtKB	A0A024R2N7	-	AXUD1	9606	-	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000035101	Function	20160305	Ensembl
UniProtKB	A0A024R3F5	-	MIZF	9606	-	GO:0001078	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000034629	Function	20160305	Ensembl
UniProtKB	A0A024R3M5	-	FLI1	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000016231	Function	20160305	Ensembl
UniProtKB	A0A024R427	-	ALS2CR8	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000141169	Function	20160305	Ensembl
UniProtKB	A0A024R440	-	STK16	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSRNOP00000026194	Function	20160305	Ensembl
UniProtKB	A0A024R4E2	-	TARDBP	9606	-	GO:0001205	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000081142	Function	20160305	Ensembl
UniProtKB	A0A024R8P1	-	FOXJ1	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038351	Function	20160305	Ensembl
UniProtKB	A0A024R919	-	PBX1	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000135516	Function	20160305	Ensembl
UniProtKB	A0A024R974	-	ELF3	9606	-	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000003135	Function	20160305	Ensembl
UniProtKB	A0A024R9J0	-	RAD21	9606	-	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000022927	Function	20160305	Ensembl
UniProtKB	A0A024R9Q8	-	RBPSUH	9606	-	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000002	IEA	InterPro:IPR015350	Function	20160305	InterPro
UniProtKB	A0A024R9Z8	-	AHR	9606	-	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000112137	Function	20160305	Ensembl
UniProtKB	A0A024RAQ1	-	CSDA	9606	-	GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032309	Function	20160305	Ensembl
UniProtKB	A0A024RAV8	-	BHLHB3	9606	-	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032386	Function	20160305	Ensembl
UniProtKB	A0A024RAV8	-	BHLHB3	9606	-	GO:0001078	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032386	Function	20160305	Ensembl
UniProtKB	A0A024RAV8	-	BHLHB3	9606	-	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032386	Function	20160305	Ensembl
UniProtKB	A0A024RB06	-	SOX5	9606	-	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000047567	Function	20160305	Ensembl
UniProtKB	A0A024RCW6	-	PPARD	9606	-	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	GO_REF:0000002	IEA	InterPro:IPR003074|InterPro:IPR003075	Function	20160305	InterPro
UniProtKB	A0A024RD16	-	SRF	9606	-	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015749	Function	20160305	Ensembl
UniProtKB	A0A024RD16	-	SRF	9606	-	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015749	Function	20160305	Ensembl
